genres,danceability,energy,valence,tempo,cluster,cluster_dbscan,cluster_hc,Cluster_Label,pca1,pca2
['new orleans jazz'],0.658,0.0841,0.504,121.494,0,0.0,0,Instrumental / Acoustic,3.842362526144271,-0.30847393209552765
['new orleans jazz'],0.618,0.141,0.759,138.691,0,0.0,0,Instrumental / Acoustic,21.03967047628143,-0.12237655722303775
['new orleans jazz'],0.731,0.327,0.884,95.973,0,0.0,0,Instrumental / Acoustic,-21.67788951313534,0.17804499704211352
['new orleans jazz'],0.791,0.285,0.713,128.434,0,0.0,0,Instrumental / Acoustic,10.782801143069179,-0.003053112286424242
['new orleans jazz'],0.536,0.115,0.313,78.728,0,0.0,0,Instrumental / Acoustic,-38.92362158281637,-0.4093812515638739
['new orleans jazz'],0.714,0.181,0.797,92.418,0,0.0,0,Instrumental / Acoustic,-25.23319063360634,0.027740697532424585
['new orleans jazz'],0.724,0.295,0.582,97.628,0,0.0,0,Instrumental / Acoustic,-20.02321136473708,-0.07132526094345804
['new orleans jazz'],0.611,0.32,0.629,106.222,0,0.0,0,Instrumental / Acoustic,-11.42909102896418,-0.07003921020389525
['vintage chanson'],0.796,0.27,0.771,127.239,0,0.0,1,Instrumental / Acoustic,9.587828383282314,0.03497549531854072
['vintage jazz'],0.671,0.492,0.969,109.993,0,0.0,0,Instrumental / Acoustic,-7.657542085457891,0.2981291701383013
['vintage chanson'],0.598,0.188,0.621,131.554,0,0.0,2,Instrumental / Acoustic,13.902646275419954,-0.1941912831103031
['vintage country folk'],0.707,0.369,0.595,81.0,2,0.0,2,Happy / Dance,-36.6510405470202,0.000509824931742453
['vintage country folk'],0.733,0.373,0.591,83.854,2,0.0,1,Happy / Dance,-33.79705513603464,0.003899854793273594
['cornetas y tambores'],0.529,0.355,0.438,78.309,0,0.0,0,Instrumental / Acoustic,-39.342114667314846,-0.17767971513804837
['reading'],0.636,0.236,0.785,169.814,2,0.0,2,Happy / Dance,52.162782791391436,-0.08758755752835545
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.74,0.0413,0.477,89.864,0,0.0,0,Instrumental / Acoustic,-27.787711930701505,-0.28116189846218437
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.7,0.139,0.646,104.01,0,0.0,0,Instrumental / Acoustic,-13.641408762425826,-0.13121517386786596
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.693,0.199,0.538,100.845,0,0.0,0,Instrumental / Acoustic,-16.80639840657753,-0.17471057804640944
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.687,0.173,0.232,102.053,0,0.0,0,Instrumental / Acoustic,-15.59871370698049,-0.4226088561331343
"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'pre-war blues', 'traditional blues']",0.712,0.168,0.546,107.227,0,0.0,0,Instrumental / Acoustic,-10.424462483747902,-0.19011314507735533
['psychedelic rock'],0.715,0.18,0.512,129.256,2,0.0,2,Happy / Dance,11.604484750659054,-0.23997072219942783
['psychedelic rock'],0.621,0.442,0.816,178.492,2,0.0,2,Happy / Dance,60.84113732249887,0.038054199259512256
['psychedelic rock'],0.714,0.344,0.384,113.481,2,0.0,2,Happy / Dance,-4.170332943453474,-0.21747503897752352
['psychedelic rock'],0.737,0.347,0.496,74.669,2,0.0,2,Happy / Dance,-42.98216742822646,-0.0676048808358356
['psychedelic rock'],0.769,0.336,0.35,103.402,2,0.0,2,Happy / Dance,-14.249383823449193,-0.21534595120546796
['psychedelic rock'],0.691,0.5,0.661,90.541,2,0.0,2,Happy / Dance,-27.10977806006011,0.10710558074213616
['psychedelic rock'],0.713,0.437,0.804,127.876,2,0.0,2,Happy / Dance,10.225168061370638,0.12964814952775727
['psychedelic rock'],0.688,0.336,0.72,81.539,2,0.0,2,Happy / Dance,-36.11197459539959,0.06806077244143571
['psychedelic rock'],0.714,0.388,0.92,87.468,2,0.0,2,Happy / Dance,-30.18273425661789,0.247604766150072
['psychedelic rock'],0.72,0.397,0.427,121.184,2,0.0,2,Happy / Dance,3.5327748631652582,-0.1638333252774029
['pre-war blues'],0.605,0.238,0.706,107.145,0,0.0,0,Instrumental / Acoustic,-10.506154682853378,-0.06339136213635765
['torch song'],0.398,0.0712,0.312,98.939,0,0.0,0,Instrumental / Acoustic,-18.712665821842307,-0.5090688788839008
['jug band'],0.363,0.326,0.635,71.584,0,0.0,0,Instrumental / Acoustic,-46.066895028260035,-0.08985411751179406
['british dance band'],0.677,0.0844,0.602,82.17,0,0.0,0,Instrumental / Acoustic,-35.48148604232608,-0.17117361416766463
['british dance band'],0.632,0.144,0.43,98.273,0,0.0,0,Instrumental / Acoustic,-19.37855102978712,-0.3031546883613577
['velha guarda'],0.544,0.118,0.207,99.978,0,0.0,0,Instrumental / Acoustic,-17.673754307674926,-0.515651462364178
['rebetiko'],0.597,0.478,0.782,105.884,0,0.0,0,Instrumental / Acoustic,-11.766689549503596,0.13254566165755532
['rebetiko'],0.426,0.342,0.6,89.487,0,0.0,0,Instrumental / Acoustic,-28.16396292828317,-0.11304510738783846
['rebetiko'],0.845,0.333,0.699,128.6,0,0.0,0,Instrumental / Acoustic,10.9488410303737,0.03129343191259504
['rebetiko'],0.646,0.444,0.878,99.212,1,0.0,1,Mainstream / Party,-18.43867001685392,0.20995659833506353
['rebetiko'],0.39,0.326,0.553,94.675,0,0.0,1,Instrumental / Acoustic,-22.97602354898926,-0.17658045227321617
['rebetiko'],0.711,0.33,0.824,116.517,0,0.0,0,Instrumental / Acoustic,-1.1339665904324363,0.09836870519319152
['rebetiko'],0.541,0.258,0.796,116.582,0,0.0,0,Instrumental / Acoustic,-1.0690287550774116,-0.018521920119796254
['rebetiko'],0.614,0.391,0.848,128.417,0,0.0,1,Instrumental / Acoustic,10.766178210773376,0.10361560599371455
['rebetiko'],0.418,0.461,0.564,105.42,0,0.0,1,Instrumental / Acoustic,-12.230826711492199,-0.09664438016364407
['bandoneon'],0.56,0.373,0.627,117.333,0,0.0,0,Instrumental / Acoustic,-0.31800278775361335,-0.07316735033181698
['bandoneon'],0.53,0.304,0.494,117.103,0,0.0,0,Instrumental / Acoustic,-0.5482195255033275,-0.22208496426284374
['jug band'],0.395,0.267,0.803,86.687,0,0.0,0,Instrumental / Acoustic,-30.963883881975235,-0.010455724563874336
['jug band'],0.767,0.274,0.868,124.403,0,0.0,0,Instrumental / Acoustic,6.751940529222708,0.10488896591637553
[],0.412,0.902,0.627,111.362,1,0.0,0,Mainstream / Party,-6.28805984712217,0.19664016050598532
['big band'],0.644,0.451,0.641,135.913,0,0.0,1,Instrumental / Acoustic,18.262062982175138,-0.01791271614472123
['stride'],0.582,0.548,0.705,116.863,0,0.0,0,Instrumental / Acoustic,-0.7876574159039365,0.09477768865875602
['classic colombian pop'],0.441,0.222,0.499,77.38,0,0.0,0,Instrumental / Acoustic,-40.27123358677707,-0.23598920194775175
['rebetiko'],0.469,0.303,0.354,108.144,0,0.0,0,Instrumental / Acoustic,-9.50730101309577,-0.33367036467706307
['classic soundtrack'],0.203,0.418,0.182,89.15,0,0.0,0,Instrumental / Acoustic,-28.501106774609468,-0.4519610352233685
['classic soundtrack'],0.168,0.162,0.151,81.395,0,0.0,0,Instrumental / Acoustic,-36.256520859582835,-0.6239249249293298
['classic soundtrack'],0.522,0.0974,0.27,124.678,0,0.0,0,Instrumental / Acoustic,7.02623341399125,-0.5237201820750629
['classic soundtrack'],0.288,0.321,0.281,88.203,0,0.0,0,Instrumental / Acoustic,-29.448214758146392,-0.4059699168906775
['classic soundtrack'],0.343,0.177,0.351,88.34,0,0.0,0,Instrumental / Acoustic,-29.31141307579621,-0.4201583998390972
