genres,danceability,energy,valence,tempo,cluster,cluster_dbscan,cluster_hc,Cluster_Label
['vintage chanson'],0.76,0.366,0.846,129.074,1,0.0,,Mainstream / Party
['vintage chanson'],0.707,0.316,0.804,111.138,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.717,0.231,0.786,119.306,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.711,0.193,0.833,126.836,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.709,0.289,0.84,107.515,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.716,0.301,0.969,129.153,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.71,0.561,0.963,78.705,2,0.0,,Happy / Dance
['vintage chanson'],0.769,0.442,0.934,132.125,1,0.0,,Mainstream / Party
['vintage chanson'],0.726,0.363,0.798,88.384,0,0.0,,Instrumental / Acoustic
['vintage chanson'],0.706,0.392,0.796,75.143,2,0.0,,Happy / Dance
['new orleans jazz'],0.733,0.418,0.961,121.289,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.726,0.254,0.456,110.86,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.713,0.294,0.558,85.299,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.811,0.151,0.544,127.944,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.775,0.302,0.924,99.518,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.727,0.347,0.868,106.336,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.727,0.347,0.868,106.336,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.733,0.209,0.7,140.38,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.775,0.302,0.925,99.515,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.732,0.209,0.696,140.423,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.729,0.277,0.746,155.109,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.725,0.355,0.917,99.223,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.732,0.327,0.885,95.97,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.816,0.111,0.564,133.454,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.728,0.355,0.919,99.269,0,0.0,,Instrumental / Acoustic
